円高メリット,「円高メリット」は、対ドルや対ユーロなどで円相場が上昇することでメリットが発生すること。例えば1ドル=100円だった円相場が、1ドル=90円となれば、海外からの同じ輸入商品が従来の1個100円が90円で買えることになる。一般的にメリットを得るとされるのは、輸入業種で、原油、大豆、トウモロコシなどの輸入食糧、輸入家具、原料を輸入する紙・パルプ、輸入木材などがある。さらに、円高が進むと、海外旅行の費用が割安となるため、旅行会社や、航空会社のビジネスチャンスも広がるとされている。ただ、円高でメリットを受ける業種は、上場企業を中心とした日本の産業界全般で見ると少ないため、一般的には「円高=株安」と判断されるケースが多い。
TPP関連,「Trans-Pacific strategic economic Partnership agreement=環太平洋戦略的経済連携協定」の略。環太平洋経済協定ともいう。原則として、加盟国の間で取引される品目に対する関税を撤廃しようという枠組みで、工業製品や農産品、金融サービスなどをはじめ、全品目についてそれを実現するべく協議が行われ、2015年10月のTPP閣僚会合で参加12ヵ国間で大筋合意に達した。ただ、2017年1月に米トランプ政権が離脱を表明。それでも日本など残る11ヵ国が新協定「TPP11」に関して11月に大筋で合意した。関係国では19年の協定発効を目指しているが、まだ紆余曲折する可能性もある。
01銘柄,証券コードは基本的に、7200番代が自動車、9100番代が海運というように、業種ごとに証券コードの範囲が決まっている。証券コードが導入された際、各業種の歴史ある名門企業は、日産自動車の7201、日本郵船の9101のように、各区分の中で初めにコードが設定され、末尾が01となった。こうしたことから、各業種のなかで古い歴史を持つ代表的な企業を指す意味で、証券コードの末尾が01の銘柄群のことを「01銘柄」と呼ぶようになった。
ロシア関連,原油などエネルギー製品の輸出で大きく成長するロシア経済を背景に、同国に進出する日本企業が増えている。大手商社やプラント、食品、自動車メーカーなど同国との貿易や同国内での商品販売を手掛ける企業を指す。ただ、原油価格の市況が同国経済の好不調を大きく左右する。また、北方領土交渉の行方にも注目が集まっている。
農林水産,農林水産とは、農業と林業、水産業をあわせた総称。自然の恩恵を利用した産業ということで、一次産業と呼ばれる。
健康・機能性食品,健康食品は健康の保持増進に役立つとされるが、法律的に明確な定義はない。これに対し機能性食品は科学的根拠が必要。また、これまでトクホや栄養機能食品に限られていた健康効能の表示が一般食品の範疇でも認められ市場の裾野が広がっている。
ファインケミカル,多品種・少量生産で高付加価値の化学工業製品で、例えば医薬品や香料などがその範疇に入る。高度な技術力を要する一方、利益採算も高く、化学系企業などが経営資源を同分野にシフトして業容拡大を図るケースも多い。
うなぎ,2014年に国際自然保護連合(IUCN)がニホンウナギを絶滅危惧種に指定したことで、改めてウナギの資源枯渇が取りざたされている。完全養殖に向けた動きが産官学共同で始まっているが、養殖ウナギの稚魚量産化には問題も多く、実用化に向けての動きが話題に上りそうだ。
ハム・ソーセージ,ハム・ソーセージは食肉加工業の中心を占める分野で、大きな市場規模を持っている。ディフェンシブセクターである食品業界の特性から、業績は各社とも安定性が高い。原料に占める輸入肉の割合は高く、為替レートの影響を大きく受ける。また、関税引き下げから受けるメリットは大きく、貿易交渉の進展は株価動向をしばしば左右する。
サプリメント,健康志向の高まりとともに現代人に不足しがちなビタミンやミネラルなどの栄養素の補給を助け、時流を反映して健康食品とともに侮れない成長市場を形成している。食品関連株にとっても物色テーマのひとつを担う。
アンチエイジング,加齢よっておこる老化の原因を抑制することによって、老化を予防したり、改善すること。急速に進む高齢化社会を追い風に、化粧品、製薬、化学メーカーなど幅広い分野の企業が新製品を投入しており、近年市場が急拡大している。アンチエイジングには、肌の老化を防ぐためのスキンケアやサプリメントの摂取などさまざまな方法があるが、さらに肌が自ら修復・再生する機能のオートファジーをコンセプトとした商品が投入され、注目を集めた。
バイオマスプラスチック,「バイオマスプラスチック」は、トウモロコシなどのでんぷんや、食品廃棄物などのバイオマスによって作られるプラスチックのことを「バイオマスプラスチック」という。植物などを原料とし、微生物によって最終的に二酸化炭素と水に分解されること、塩素を含んでいないこと、燃やした場合燃焼温度が紙と同じ程度といった点が普通のプラスチックと異なる。
ブラジル関連,ブラジルは、成長性の高い新興国「ブリックス(BRICS)」の一角として高い関心を集めている。新興諸国内における存在感が高まるなか、2014年にサッカー・ワールドカップ、16年にはリオデジャネイロで夏季オリンピックといった世界的なイベントも同国で開催されている。また、ブラジルは海底油田などを持ち、資源国としても注目されている。
アベノミクス関連,安倍晋三首相が第2次安倍内閣において掲げた経済政策で、2012年後半に始まる上昇相場の源泉となった。その内容を示す3本の矢は有名。大胆な金融政策で流動性を担保し、積極的な財政投入で景気を刺激、そして成長戦略で民間の活力を引き出し、デフレ脱却の礎を築いた。
軽減税率,19年10月の消費税率の引き上げに伴い、低所得者への経済的な配慮の観点から軽減税率制度がスタートする。軽減税率とは、特定の商品の消費税率を一般的な消費税率より低く設定するルールで、生活する上で必須となる食料品などの税率を低くするというもの。これにより、スーパーなどでは消費税率10%の商品と8%のままの商品とが並ぶことになる。ほかにも、レストランでの食事は消費税率10%だが、テイクアウトや出前は8%のままであることから、業界によってメリット・デメリットが発生する。また、軽減税率対応レジへの変更などの需要も期待されている。
JPX日経400,日本取引所グループ(JPX)と同グループの東京証券取引所、それに日本経済新聞が共同で開発した株式指数。2014年1月から公表が始まった。東証1・2部に加え、ジャスダックやマザーズを含めた400銘柄で構成され、営業利益や時価総額、それに自己資本利益率(ROE)などを基準に採用銘柄を決定している。年に1回入れ替えがあり、毎年8月に新規採用と削除銘柄が発表される。
個人消費関連,個人消費は消費増税の影響はあるものの、国内景況感回復に伴う賃金の上昇や、株高などによる資産効果から拡大傾向をたどることが期待されている。また、訪日外客急増によるインバウンド効果も小売関連企業には福音となっている。
水産卸,「水産卸」は、日本各地や海外海域の漁場で操業する漁業者や、海外からの輸入水産物に対し安定的な 販路を提供するとともに、都市のスーパーなど小売業者や、消費者に円滑な日常食料品の配給するを役割を担っている。水産卸会社の業績は、水産物の需要動向や、魚価の変動に左右される。
宅配,蕎麦の出前に見られるように、古くから日本ではお馴染みの業態である宅配だが、専門的に行う企業が上場してきたのは近年のことだ。出前・宅配店の仲介サイト運営企業や、複数ブランドで宅配専門店をチェーン展開する企業などが上場している。
野菜ジュース,野菜を磨り潰すなどしてジュースにしたもの。トマトを主原料としたトマトミックスジュースに加えて最近では、果汁を加えたものも広く出回っている。
畜産,"「畜産」は、動物(養蚕を除く)のうち家畜・家禽(牛,馬,羊,豚,鶏など)を飼育し、肉、卵、乳製品、皮などを得て生活に役立てる産業のこと。"
介護関連,急速な高齢化社会の進展で、介護市場は拡大している。特別養護老人ホームや病院の新築、サービス付き高齢者向け住宅の増加など関連する市場は拡大の一途だ。また、介護用オムツなど介護用品の市場も大きく伸びている。さらに、介護用具を購入するには多額の費用がかかるため、介護用品をレンタルサービスする企業の成長も期待されている。
中国関連,中国の名目GDPは1990年から2010年の20年間で20倍以上に膨らんだ。2003年から07年にかけての経済成長率は10%を越しており、現在は世界第2位の経済大国となっている。この中国の高度成長の恩恵を受け、業績を伸ばした銘柄群が中国関連株と呼ばれる。対象となる銘柄は多く、初期はインフラ関連や製造業が多かったが、中国経済が発展するに連れ、消費関連企業も中国での業績を伸ばし、中国関連株と呼ばれるようになっていった。とはいえ、中国経済も高度成長が続く時期は終わりが意識され、いずれは巡航速度に入っていくとみられる。「中国関連株」というテーマが株式市場でもてはやされる時期も、既に過ぎ去りつつあるように見受けられる。
食品,景気動向に業績が左右されにくい業種をディフェンシブセクターと呼ぶが、食品株はディフェンシブセクターにおける代表的な業種・テーマである。かつては純粋な内需株であった食品株だが、少子化が進むなか、継続的な成長を図るために、近年では海外展開を強化する企業も多くあり、話題も多い。
食品卸,食品卸は食料品の卸売りを行うこと。食品商社ともいう。食品メーカーや生産者から仕入れた商品を、小売業や外食産業に対し販売することを業務としている。商社株かつ食品セクターに隣接していることから、バリュエーションは低めになりがち。
倉庫,倉庫業は近年、大きな変革の中にある。国際物流の増加やインターネット通販の隆盛による取扱量の増加に対応するため、より大量の荷物を効率的に扱える近代的な倉庫の導入が進んでいる。配達時間の短縮は顧客満足度の増加やコスト削減には必須で、そのためには商品の受け取り、保管、発送を行う倉庫業の発展が必須となる。株式市場においては地味な銘柄が多いが、今後、思わぬ角度から脚光が当たることもありえよう。また、含み資産株が動意する際、倉庫関連株もその一角として売買が活発化する傾向もある。
種苗,「種苗」は文字通り、植物のタネ(種)とナエ(苗)のこと。このほかに、養殖などに使用する稚魚を「種苗」と表現することもある。株式市場では、種苗の専業メーカーのほかに、ビールメーカーや乳業メーカー、食品会社にも「種苗」を手掛けるところも多い。さらに、農家や家庭菜園、ガーデニング需要向けの種苗を販売するホームセンターも関連銘柄といえる。
農薬,農作物を病虫害から防ぎ、有害な雑草を除いたり、また農作物の生育を増進させるような各種薬剤の総称。殺虫、殺菌剤から除草剤、殺鼠剤、忌避剤、誘引剤、植物生長調節剤、補助剤 まで広範囲の薬物が含まれる。株式市場で対象となるのは、農薬専業メーカーをはじめ、化学メーカーの農薬部門。政府はTPP(環太平洋経済連携協定)参加に関連して、国内農業の競争力を高めるために、JA全農の農業全般に対する影響力を軽減する政策を打ち出している。これにより、国内農薬メーカーの海外展開に拍車がかかりそうだ。
ガーデニング,ガーデニングは一般家庭で行われる園芸のこと。日本では家や庭を草花で飾り立て、ヨーロッパ風の庭園や外観を作ることを指す言葉として使われている。
農業関連,農業関連とは、トラクターなどの農業機械メーカーや農薬メーカー、種苗メーカー、飼料メーカー、農場経営企業などのことを指す。農業改革の行方に関心が高まるとともに農業関連株が注目されている。
殺虫・防虫剤,殺虫剤とは、ヒトや植物にとって有害な害虫を駆除するための薬剤。防虫剤とは、害虫を寄せ付けないようにするためのもので、ナフタリンや樟脳などの種類がある。
肥料,肥料は、植物の栄養に供すること、または植物の栽培に役立つ土壌に化学的変化をもたらすことを目的として土地に施される物および植物の栄養に供することを目的として植物に施される物。株式市場で対象となるのは、肥料の専門メーカーのほかに、農薬メーカーや化学品メーカー、飼料メーカーが手掛けるケースも多い。また、海外展開の面では大手商社の存在も見逃せない。
緑化関連,緑化には、街に木を植えたり花を育てたりして緑を増やす意味がある。近年は、地球温暖化が進むなか、ヒートアイランド現象を緩和するために建物の壁面や屋根の緑化を進める動きがある。例えば、緑化屋根の場合、屋根に芝などを敷いて景観を美しくするとともに建物内の温度を適度に保つといった効果がある。
屋上緑化,「屋上緑化」は、建築物の断熱性や景観の向上などを目的として、屋根や屋上に植物を植え緑化すること。日本列島が猛暑に見舞われる原因のひとつとして挙げられるのがヒートアイランド現象。この現象は、都市部の気温が、周辺の非都市部に比較して異常ともいえる高温を示すものだ。抜本的な解決策がないなか、注目されたのが屋上緑化。株式市場では、建設会社、植物を扱う種苗会社、防水シートなどの部材メーカーなどが対象となる。
砂漠緑化,砂漠化の進行を阻み、近隣の気候の安定、さらに農耕地の拡大などをテーマに砂漠緑化の試みは世界各地で実施されている。水処理プラントや造船メーカー、化学会社や種苗メーカーなどが関連技術を有するセクターとしてマークされる。
ヒートアイランド,郊外に比べ都市部ほど気温が高くなる現象を指す。アスファルト道路や、コンクリートの建物が熱をため込むほか、自動車やエアコンの室外機からの排熱によるもので、この課題への対応が企業ビジネスとして市場を形成している。
機能性野菜,「機能性野菜」は、ビタミンや植物由来のさまざまな有用成分のうち、本来野菜にごく微量にしか含まれない、もしくはまったく含まれない成分を、技術を用いて高い含有量にした野菜のこと。生産工程での成分添加や、品種改良によるものなどがある。株式市場では、種苗メーカーなどが対象となる。
アジア関連,中国を筆頭にアジア地域の経済成長を享受する日本企業のこと。現地で生産する自動車や電子部品メーカー、インフラ整備に貢献する企業など多岐にわたる。
農産物輸出,農林水産省が2015年2月に発表した、2014年の農林水産物・食品の輸出額は6117億円(前年比11%増)となり、1955年に統計を取り始めて以来初めて6000億円を突破し、2年連続で過去最高を記録した。世界的な和食ブームや円安が続いていることや、海外政府に農産物などの輸入規制の緩和を働きかけていることが背景にある。ただ、増加しているとはいえ、日本農業の総産出額は、約8兆5000億円程度で、輸出額は全体のわずか7.2%に過ぎない。政府では農作物の輸出額を1兆円に拡大する計画を掲げている。農業は、TPP(環太平洋経済連携協定)への参加を前にして、国際競争力の強化が重要課題となっている。株式市場では、種苗メーカー、農薬・肥料メーカー、農機メーカー、食糧・食品商社などが対象となる。
サマーストック,いわゆる気温の上昇に伴い売上高が伸びる業態で夏に買われやすい銘柄。例えばビール株やエアコン関連株などが挙げられるが、実際は夏になってから買うのでは遅い。「麦わら帽子は冬に買え」という相場格言はあまりに有名である。猛暑となった場合に上昇度合いが大きくなりやすいが、冷夏の場合は逆に下落圧力がかかることになる。今では広く知られるようになったエルニーニョ現象やラニーニャ現象など、日本列島の気象に影響を及ぼす現象からの連想が働きやすい。
インド関連,主にインドに進出、あるいは輸出入などでかかわる企業を指す。インドの2016年1～3月期のGDP(国内総生産)成長率は、前年同期比7.9%を記録、中国を上回るなど成長が加速している。日本とは友好関係にあり、スズキをはじめ現地進出企業は多い。
欧州関連,欧州関連株とは、一般的には欧州向け売上高比率が高く、ユーロ高・円安が追い風となる企業を指します。ユーロ高メリット関連銘柄と同義に扱われることが多く、大半の銘柄が重複しています。セクター別では、電機機器や機械、精密機器、自動車など日本の中核業種に欧州関連株が多い。また、欧州企業に対するM&Aなどにより欧州における売上高が急増した企業も欧州関連株といえます。
ブナシメジ,「ブナシメジ」は、キシメジ科のキノコ。ブナなどの朽ち木などに生える。ホンシメジより人工栽培が容易なのが特徴。栽培困難な高級きのこである本来の「ホンシメジ」とは別のもの。1990年代に人工栽培が本格化して以降、鍋ものの素材などして欠くことのできない食材として、需要が拡大している。株式市場では、「まいたけ」と同様に専門メーカーの動向に注目。
エリンギ,ヒラタケ科ヒラタケ属のキノコの一種。子実体は食用とされる。欧州では、古くから食用として利用されていた。日本では、1990年代に愛知県林業センターで初めて人工栽培が行われ、栽培技術が普及するのにともなって各地で大量の商業栽培がおこなわれるようになった。株式市場では、専門メーカーの動向が焦点となる。
植物工場,植物工場は、施設内で植物の生育に必要な光や温度、湿度、水分などの環境を人工的に制御して植物を栽培する施設園芸のうち、高度な環境制御と生育予測を行うことで、年間を通して計画生産が可能な栽培施設のことを指す。 植物工場の最大のメリットは、天候や季節の影響をほとんど受けることなく、安定的かつ計画的に植物を生産できること。また、施肥条件や照明などを制御することで播種(種まき)から収穫までの期間を短縮化できるため、レタスならば年間15～20回の収穫が可能となり、土地面積当たりの年間生産性は露地栽培の100倍以上にも上る。更に、閉鎖空間で栽培することができるため、無農薬栽培で安全な植物が生産可能であることもメリットである。
まいたけ,「まいたけ」は、旨みが強く、また歯切れも良く、生食以外ほとんどの調理法で、食材としての応用が可能だ。人工栽培の方法が本格的に確立したのは1990年代からで、現在市場に出回っているものはほとんどが人工栽培のもの。株式市場では、専門メーカーが対象となる。また、人工栽培で、自然環境変動の影響を受け難く、価格が比較的安定していることから、野菜価格の高騰時に注目を集める傾向がある。
キノコ,「キノコ」は、菌類のうちで比較的大型の子実体を形成するもの、あるいはその子実体そのものをいう俗称。植物とは明確に異なる。シイタケ、エノキダケ、シメジ、マイタケ、ナメコ、マッシュルームのように、非常によく食べられており、栽培も行なわれている食用キノコがある。株式市場では、専門メーカーの動向に関心が集まる。
厳冬対策,かつて厳冬対策といえば重衣料が関連銘柄の代表だったが、近年ではウオームビズなどへと主役が取って代わられている。このほか暖房機器や雪かき用のスコップ、それらを扱うホームセンター、タイヤチェーンなどを扱うカー用品店、さらにスキー用品などを扱うスポーツショップなどが関連銘柄として挙げられる。
鶏肉,鶏肉の消費動向は、決して派手ではないものの、市場規模という面では順風環境にある。近年、日本国内の消費量が少しづつ増加しているのだ。低価格志向の高まりや国産志向、牛肉や豚肉に比べ低脂肪・低カロリーである点などが好まれたものと見られる。農林水産省によると、日本国内の鶏肉消費量は2003年度の184万トンから2013年度の219万トンまで、10年間で20%近く増加。国内生産、輸入量も同期間で20%前後の伸びを示している。2013年度の国内生産量は145万トン、輸入は71万トンで、毎年おおむね国内消費量の3分の2前後を国内でまかなっている。一方、鳥インフルエンザや東日本大震災などの影響で、年によっては国内生産が落ち込み、輸入量が増加するといった状況もあり、逆風も皆無ではない。最近では、中国からの輸入鶏肉が病気のニワトリや期限切れの鶏肉をつかっていた事件により、これを使用していた外食企業の信用が失墜し、業績に多大な影響を受けたことがあった。この際は鶏肉の調達先が日本企業へ変更されるのではないかとの予想や、国産志向がさらに高まるとの思惑から、鶏肉を生産していた企業の株価が急騰している。
鶏卵,人類がニワトリを飼育し、そのタマゴを食べ始めた時期は紀元前に遡り、鶏卵は食料として長い歴史を持つ。日本においては戦後、鶏卵は「物価の優等生」と呼ばれるほど価格が安定して推移してきた。生産量、消費量とも安定して推移しており、変化の少ない市場といえよう。株式市場においても目立たぬ存在で、鶏卵そのものの生産・出荷を手掛ける企業のほか、業務用液卵や冷凍卵、卵加工食品の製造などを手掛ける企業が上場している。
牛乳,牛乳生産は減少傾向が続いており、業界および各社はその改善に向けて動いている。最近では、ロングライフ牛乳が注目を集めている。食品の滅菌と容器の滅菌を別々に行う技術を用い、保存料や防腐剤を使用せず、「おいしさ」と「長持ち」を両立させている。
豚コレラ,豚コレラとは、家畜伝染病予防法において法定伝染病に指定されている、ブタのウイルス性疾病の一つ。ヒトには感染することはなく、豚コレラにかかったブタの肉を食べてもヒトに感染することもない。日本では07年4月から国際獣疫事務局(OIE)の規約に基づき、豚コレラ清浄国となっていたが、18年9月に岐阜県の養豚場で発生が確認されて以降は感染国に戻っている。豚コレラ発生に伴う豚肉価格上昇などでメリットを受ける企業や代替需要に関連した銘柄、豚コレラ流行抑止に関連する銘柄などが注目される。
外食,外食産業は、ファストフード、ファミリーレストラン、パブ・居酒屋、ディナーレストラン、喫茶の業態に大きく分類される。一概に「外食」といっても和食から、ラーメン、焼肉やカレーなどのファーストフードまで幅広く、各業態によってその経営環境は大きく異なる。ライフスタイルが変化するなか、さまざまなアイデアで差別化を図ろうとしている。最近では「和食」がユネスコ無形文化遺産に登録され、世界中で和食(日本食)ブームが出現。いまや多くの外食チェーンは、世界展開を視野に入れている。
フランチャイズチェーン,コンビニや、ファストフードなど外食サービス分野に多くみられるビジネスモデルで、主催者は商標および商品の販売・製造権利、経営ノウハウなどを加盟店に提供し、加盟店はロイヤルティーを支払う。主催者側は低コストで飛躍的に事業を拡大できるメリットがある。
飼料,家畜や家禽、養殖などにおいて飼育される動物に与えるエサを飼料と呼ぶ。飼料業は食肉業や養殖業を支える基盤であり、その重要性は高い。農業などにおいては、一般人のイメージとは異なり、飼料用の生産も多い。株式市場においては近年、養殖マグロなどへの注目が増したことで、マグロ用の飼料を開発・提供する企業に注目が当たる場面があった。マグロ養殖に限らずウナギ養殖など、今後も養殖関連の話題は注目を浴びやすいと予想され、関連する飼料生産を手掛ける企業も脚光を浴びることがありそうだ。
リフォーム,老朽化した建物に補修を行い、新築時の状態に戻すこと。外装の塗り直しや壁紙の張り替えなどが、リフォームに該当する。
内装,住宅や、オフィスビルなどの天井、壁、床など建築物の内部の設備や装飾のこと。広い意味では、ドア、クローゼットといった建具部分も含める。自動車のシート、天井、床といった内部の装飾も指す。
マンション関連,開発・販売だけでなく、管理や警備、水回り設備などマンションに関連する事業を手掛ける企業の総称。マンション関連は裾野が広く波及効果が大きいだけに、景況感を占う意味でもマンションの販売動向への関心は高い。
中古マンション再生,中古マンションは、内装をリフォームすれば新築と変わらない住み心地を得られるうえ、新築を買うより安くすむことが利点。2012年あたりから、テレビなどで「リノベーション」という言葉をよく聞くようになった。老朽化した建物を建築当初の性能に戻す比較的小規模な改修を意味する「リフォーム」に対し、「リノベーション」は建物の持つもともとの性能以上に新たな付加価値を加え再生させることとなっている。最近では認知度の向上を背景に購入者の層も広がりつつあり、市場が一気に拡大傾向にある。
ビルメンテナンス,ビルの設備管理や清掃管理、保安警備などの業務を行う。再開発などで首都圏を中心にビル建築ラッシュとなるなか、当然ながらそれに比例してビルメンテナンスの需要も高まり、関連企業の収益に反映されることになる。
マンション管理,マンションの管理組合から委託を受け、マンションの資産価値の維持・向上を目的に管理を行うこと。マンション管理組合に毎月納める管理費や修繕積立金などの収納を代行したり、月次報告書や年次決算報告書の作成を行ったり、設備の管理、長期修繕計画の作成などを手掛ける。
不動産関連,不動産関連という範疇では賃貸や分譲を手掛ける不動産会社だけでなく、J―REITなど不動産ファンドやネットや紙メディアなどでその情報を扱う会社まで裾野は広い。脱デフレを掲げる安倍政権下で市況の本格上昇に期待が募る。
仮想通貨,「仮想通貨」は主にインターネット上でやりとりできる通貨のこと。国家が価値を保証する法定通貨に対し、仮想通貨は中央銀行のような公的な発行体や管理者がなく、専門の取引所で円やドル、ユーロなどの現実の通貨と交換できる。公的な発行体や管理者なしで存在しうるという特性のため、仮想通貨の種類は非常に多く、2016年現在、全世界で600種類以上が存在すると言われている。株式市場では、仮想通貨に関連した銘柄を「仮想通貨関連株」と呼ぶ。また、仮想通貨のうち最も有名なものであるビットコインにちなみ、「ビットコイン関連株」と呼ぶ場合も稀にある。「仮想通貨」は「暗号通貨」と呼ばれる場合もある。日本では「仮想通貨」の使用が一般的だが、世界的には「Cryptocurrency(暗号通貨)」が用いられる場合が多い。「Virtual Currency(仮想通貨)」も使われないわけではないが、使用頻度は「Cryptocurrency(暗号通貨)」が圧倒的に多い。仮想通貨の信用が、国家などの裏付けを持たないにもかかわらず維持されているのは、暗号理論に裏付けされた取引の安全性確保、偽造防止の仕組みなどによる。そのため、「仮想通貨」と「暗号通貨」はほぼ同義といえる。仮想通貨のうち最も有名なものは2009年に登場した「ビットコイン」。ビットコインは中本哲史と名乗る謎の人物の論文に基いて運用が始まり、欧州における金融危機などを背景に価値が高騰。2013年に入り世界的な注目を浴びるようになった。この頃のビットコイン取引所で世界最大手はマウントゴックスといい、フランス出身のマルク・カルプレス氏が渋谷で経営する企業によって運営されていた。マウントゴックスはビットコイン消失事件などのトラブルを起こし2014年に経営破綻。これらの謎めいた誕生秘話やスキャンダラスな事件により社会全体の耳目を集め、ビットコインと仮想通貨の存在は、日本でも一般的に知られるところとなった。2016年に入ってからは法整備も進み、日本ではこの年の5月25日に仮想通貨を決済手段に使える「財産的価値」と定義した改正資金決済法が成立。これにより、仮想通貨ビジネスも本格化している。
ブロックチェーン,ブロックチェーンとは、取引などの記録をコンピューターのネットワーク上で管理する技術の一つで、インターネット上の複数のコンピューターで多数の参加者が取引記録を共有し、互いに監視しながら正しい情報を鎖(チェーン)のようにつないで蓄積する仕組み。暗号技術を組み合わせることで、改ざんが極めて難しい分散処理・管理を実現でき、従来の集中処理型のインフラと比較して、管理コストが削減でき、安全性も担保されるといったメリットがある。 ブロックチェーンは、多数の参加者における取引記録のリコンサイル(照合・残高照会)や所有権管理といったプロセスに適しており、金融以外でもさまざまな分野での応用が期待されている。例えば、よりスマートでより効率的なサプライ・チェーン・システムの実現や、IoT(モノのインターネット)ネットワーク、ゲーム、マルチメディア著作権管理、レンタカー、政府が作成する身分証明書や免許、保険記録の管理での活用などが想定される。経済産業省が16年4月に公表したブロックチェーンの調査報告書では、潜在的な市場規模を67兆円と試算。今後は非金融分野での利活用が進むとみられ、市場の拡大ペースが加速しそうだ。
インバウンド,インバウンドとはいわゆる訪日外国人観光客のこと。彼らによる日本国内での消費活動をインバウンド消費といい、ここ数年、高額商品の売れ行きだけではなく、日用品やレジャー関連需要など幅広い消費分野で、インバウンド消費が話題になっていた。数年前は、中国人訪日客によるいわゆる「爆買い」が消費を活性化させ、百貨店株をはじめとする関連株も動意した。しかし、ここにきて爆買いも一巡し、インバウンド消費は爆買いから体験型のこと消費へと変化し始めており、新たな関連銘柄も続々と誕生するようになっている。
